match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1460758,2025,2025-05-30,"Grace Road, Leicester",1,0.1,Derbyshire,Leicestershire,CP Jewell,AHT Donald,LV van Beek,2,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,0.2,Derbyshire,Leicestershire,CP Jewell,AHT Donald,LV van Beek,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,0.3,Derbyshire,Leicestershire,CP Jewell,AHT Donald,LV van Beek,4,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,0.4,Derbyshire,Leicestershire,CP Jewell,AHT Donald,LV van Beek,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,0.5,Derbyshire,Leicestershire,CP Jewell,AHT Donald,LV van Beek,0,0,,,,,,caught,CP Jewell,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,0.6,Derbyshire,Leicestershire,DL Lloyd,AHT Donald,LV van Beek,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,1.1,Derbyshire,Leicestershire,AHT Donald,DL Lloyd,MET Salisbury,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,1.2,Derbyshire,Leicestershire,AHT Donald,DL Lloyd,MET Salisbury,0,0,,,,,,caught,AHT Donald,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,1.3,Derbyshire,Leicestershire,WL Madsen,DL Lloyd,MET Salisbury,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,1.4,Derbyshire,Leicestershire,WL Madsen,DL Lloyd,MET Salisbury,4,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,1.5,Derbyshire,Leicestershire,WL Madsen,DL Lloyd,MET Salisbury,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,1.6,Derbyshire,Leicestershire,WL Madsen,DL Lloyd,MET Salisbury,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,2.1,Derbyshire,Leicestershire,WL Madsen,DL Lloyd,LV van Beek,0,0,,,,,,bowled,WL Madsen,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,2.2,Derbyshire,Leicestershire,SR Patel,DL Lloyd,LV van Beek,4,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,2.3,Derbyshire,Leicestershire,SR Patel,DL Lloyd,LV van Beek,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,2.4,Derbyshire,Leicestershire,SR Patel,DL Lloyd,LV van Beek,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,2.5,Derbyshire,Leicestershire,DL Lloyd,SR Patel,LV van Beek,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,2.6,Derbyshire,Leicestershire,DL Lloyd,SR Patel,LV van Beek,4,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,3.1,Derbyshire,Leicestershire,SR Patel,DL Lloyd,SB Wood,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,3.2,Derbyshire,Leicestershire,DL Lloyd,SR Patel,SB Wood,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,3.3,Derbyshire,Leicestershire,DL Lloyd,SR Patel,SB Wood,6,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,3.4,Derbyshire,Leicestershire,DL Lloyd,SR Patel,SB Wood,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,3.5,Derbyshire,Leicestershire,DL Lloyd,SR Patel,SB Wood,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,3.6,Derbyshire,Leicestershire,DL Lloyd,SR Patel,SB Wood,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,4.1,Derbyshire,Leicestershire,DL Lloyd,SR Patel,MET Salisbury,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,4.2,Derbyshire,Leicestershire,SR Patel,DL Lloyd,MET Salisbury,0,1,,,,1,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,4.3,Derbyshire,Leicestershire,DL Lloyd,SR Patel,MET Salisbury,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,4.4,Derbyshire,Leicestershire,SR Patel,DL Lloyd,MET Salisbury,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,4.5,Derbyshire,Leicestershire,DL Lloyd,SR Patel,MET Salisbury,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,4.6,Derbyshire,Leicestershire,SR Patel,DL Lloyd,MET Salisbury,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,5.1,Derbyshire,Leicestershire,SR Patel,DL Lloyd,SB Wood,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,5.2,Derbyshire,Leicestershire,SR Patel,DL Lloyd,SB Wood,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,5.3,Derbyshire,Leicestershire,DL Lloyd,SR Patel,SB Wood,0,0,,,,,,caught,DL Lloyd,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,5.4,Derbyshire,Leicestershire,MK Andersson,SR Patel,SB Wood,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,5.5,Derbyshire,Leicestershire,MK Andersson,SR Patel,SB Wood,4,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,5.6,Derbyshire,Leicestershire,MK Andersson,SR Patel,SB Wood,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,6.1,Derbyshire,Leicestershire,SR Patel,MK Andersson,TAR Scriven,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,6.2,Derbyshire,Leicestershire,SR Patel,MK Andersson,TAR Scriven,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,6.3,Derbyshire,Leicestershire,SR Patel,MK Andersson,TAR Scriven,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,6.4,Derbyshire,Leicestershire,MK Andersson,SR Patel,TAR Scriven,0,1,1,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,6.5,Derbyshire,Leicestershire,MK Andersson,SR Patel,TAR Scriven,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,6.6,Derbyshire,Leicestershire,MK Andersson,SR Patel,TAR Scriven,4,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,6.7,Derbyshire,Leicestershire,MK Andersson,SR Patel,TAR Scriven,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,7.1,Derbyshire,Leicestershire,MK Andersson,SR Patel,L Trevaskis,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,7.2,Derbyshire,Leicestershire,SR Patel,MK Andersson,L Trevaskis,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,7.3,Derbyshire,Leicestershire,MK Andersson,SR Patel,L Trevaskis,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,7.4,Derbyshire,Leicestershire,SR Patel,MK Andersson,L Trevaskis,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,7.5,Derbyshire,Leicestershire,MK Andersson,SR Patel,L Trevaskis,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,7.6,Derbyshire,Leicestershire,SR Patel,MK Andersson,L Trevaskis,0,0,,,,,,caught,SR Patel,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,8.1,Derbyshire,Leicestershire,MK Andersson,RA Whiteley,TAR Scriven,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,8.2,Derbyshire,Leicestershire,RA Whiteley,MK Andersson,TAR Scriven,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,8.3,Derbyshire,Leicestershire,MK Andersson,RA Whiteley,TAR Scriven,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,8.4,Derbyshire,Leicestershire,RA Whiteley,MK Andersson,TAR Scriven,2,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,8.5,Derbyshire,Leicestershire,RA Whiteley,MK Andersson,TAR Scriven,0,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,8.6,Derbyshire,Leicestershire,RA Whiteley,MK Andersson,TAR Scriven,2,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,9.1,Derbyshire,Leicestershire,MK Andersson,RA Whiteley,L Trevaskis,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,9.2,Derbyshire,Leicestershire,RA Whiteley,MK Andersson,L Trevaskis,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,9.3,Derbyshire,Leicestershire,MK Andersson,RA Whiteley,L Trevaskis,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,9.4,Derbyshire,Leicestershire,RA Whiteley,MK Andersson,L Trevaskis,1,0,,,,,,,,,
1460758,2025,2025-05-30,"Grace Road, Leicester",1,9.5,Derbyshire,Leicestershire,MK Andersson,RA Whiteley,L Trevaskis,1,0,,,,,,,,,
