match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,0.1,Durham,Nottinghamshire,G Clark,AZ Lees,M Montgomery,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,0.2,Durham,Nottinghamshire,AZ Lees,G Clark,M Montgomery,0,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,0.3,Durham,Nottinghamshire,AZ Lees,G Clark,M Montgomery,0,2,2,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,0.4,Durham,Nottinghamshire,G Clark,AZ Lees,M Montgomery,0,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,0.5,Durham,Nottinghamshire,G Clark,AZ Lees,M Montgomery,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,0.6,Durham,Nottinghamshire,AZ Lees,G Clark,M Montgomery,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,0.7,Durham,Nottinghamshire,G Clark,AZ Lees,M Montgomery,4,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,1.1,Durham,Nottinghamshire,AZ Lees,G Clark,Fazalhaq Farooqi,2,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,1.2,Durham,Nottinghamshire,AZ Lees,G Clark,Fazalhaq Farooqi,0,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,1.3,Durham,Nottinghamshire,AZ Lees,G Clark,Fazalhaq Farooqi,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,1.4,Durham,Nottinghamshire,G Clark,AZ Lees,Fazalhaq Farooqi,0,0,,,,,,bowled,G Clark,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,1.5,Durham,Nottinghamshire,OG Robinson,AZ Lees,Fazalhaq Farooqi,0,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,1.6,Durham,Nottinghamshire,OG Robinson,AZ Lees,Fazalhaq Farooqi,0,2,2,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,1.7,Durham,Nottinghamshire,AZ Lees,OG Robinson,Fazalhaq Farooqi,0,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,2.1,Durham,Nottinghamshire,OG Robinson,AZ Lees,OP Stone,4,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,2.2,Durham,Nottinghamshire,OG Robinson,AZ Lees,OP Stone,4,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,2.3,Durham,Nottinghamshire,OG Robinson,AZ Lees,OP Stone,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,2.4,Durham,Nottinghamshire,AZ Lees,OG Robinson,OP Stone,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,2.5,Durham,Nottinghamshire,OG Robinson,AZ Lees,OP Stone,0,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,2.6,Durham,Nottinghamshire,OG Robinson,AZ Lees,OP Stone,0,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,3.1,Durham,Nottinghamshire,AZ Lees,OG Robinson,Fazalhaq Farooqi,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,3.2,Durham,Nottinghamshire,OG Robinson,AZ Lees,Fazalhaq Farooqi,0,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,3.3,Durham,Nottinghamshire,OG Robinson,AZ Lees,Fazalhaq Farooqi,2,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,3.4,Durham,Nottinghamshire,OG Robinson,AZ Lees,Fazalhaq Farooqi,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,3.5,Durham,Nottinghamshire,AZ Lees,OG Robinson,Fazalhaq Farooqi,0,1,1,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,3.6,Durham,Nottinghamshire,AZ Lees,OG Robinson,Fazalhaq Farooqi,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,3.7,Durham,Nottinghamshire,OG Robinson,AZ Lees,Fazalhaq Farooqi,0,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,4.1,Durham,Nottinghamshire,AZ Lees,OG Robinson,OP Stone,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,4.2,Durham,Nottinghamshire,OG Robinson,AZ Lees,OP Stone,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,4.3,Durham,Nottinghamshire,AZ Lees,OG Robinson,OP Stone,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,4.4,Durham,Nottinghamshire,OG Robinson,AZ Lees,OP Stone,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,4.5,Durham,Nottinghamshire,AZ Lees,OG Robinson,OP Stone,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,4.6,Durham,Nottinghamshire,OG Robinson,AZ Lees,OP Stone,0,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,5.1,Durham,Nottinghamshire,AZ Lees,OG Robinson,M Montgomery,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,5.2,Durham,Nottinghamshire,OG Robinson,AZ Lees,M Montgomery,2,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,5.3,Durham,Nottinghamshire,OG Robinson,AZ Lees,M Montgomery,0,1,1,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,5.4,Durham,Nottinghamshire,OG Robinson,AZ Lees,M Montgomery,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,5.5,Durham,Nottinghamshire,AZ Lees,OG Robinson,M Montgomery,2,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,5.6,Durham,Nottinghamshire,AZ Lees,OG Robinson,M Montgomery,2,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,5.7,Durham,Nottinghamshire,AZ Lees,OG Robinson,M Montgomery,1,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,6.1,Durham,Nottinghamshire,AZ Lees,OG Robinson,LW James,0,4,,,,4,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,6.2,Durham,Nottinghamshire,AZ Lees,OG Robinson,LW James,4,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,6.3,Durham,Nottinghamshire,AZ Lees,OG Robinson,LW James,4,0,,,,,,,,,
1410465,2024,2024-07-12,"Riverside Ground, Chester-le-Street",1,6.4,Durham,Nottinghamshire,AZ Lees,OG Robinson,LW James,1,0,,,,,,,,,
