match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1460780,2025,2025-06-06,"Grace Road, Leicester",1,0.1,Leicestershire,Durham,RK Patel,SG Budinger,ZGF Foulkes,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,0.2,Leicestershire,Durham,SG Budinger,RK Patel,ZGF Foulkes,0,0,,,,,,bowled,SG Budinger,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,0.3,Leicestershire,Durham,LPJ Kimber,RK Patel,ZGF Foulkes,0,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,0.4,Leicestershire,Durham,LPJ Kimber,RK Patel,ZGF Foulkes,0,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,0.5,Leicestershire,Durham,LPJ Kimber,RK Patel,ZGF Foulkes,3,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,0.6,Leicestershire,Durham,RK Patel,LPJ Kimber,ZGF Foulkes,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,1.1,Leicestershire,Durham,RK Patel,LPJ Kimber,CF Parkinson,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,1.2,Leicestershire,Durham,LPJ Kimber,RK Patel,CF Parkinson,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,1.3,Leicestershire,Durham,RK Patel,LPJ Kimber,CF Parkinson,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,1.4,Leicestershire,Durham,LPJ Kimber,RK Patel,CF Parkinson,0,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,1.5,Leicestershire,Durham,LPJ Kimber,RK Patel,CF Parkinson,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,1.6,Leicestershire,Durham,RK Patel,LPJ Kimber,CF Parkinson,0,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,2.1,Leicestershire,Durham,LPJ Kimber,RK Patel,ZGF Foulkes,4,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,2.2,Leicestershire,Durham,LPJ Kimber,RK Patel,ZGF Foulkes,0,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,2.3,Leicestershire,Durham,LPJ Kimber,RK Patel,ZGF Foulkes,0,1,,,,1,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,2.4,Leicestershire,Durham,RK Patel,LPJ Kimber,ZGF Foulkes,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,2.5,Leicestershire,Durham,LPJ Kimber,RK Patel,ZGF Foulkes,4,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,2.6,Leicestershire,Durham,LPJ Kimber,RK Patel,ZGF Foulkes,0,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,3.1,Leicestershire,Durham,RK Patel,LPJ Kimber,JDS Neesham,6,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,3.2,Leicestershire,Durham,RK Patel,LPJ Kimber,JDS Neesham,2,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,3.3,Leicestershire,Durham,RK Patel,LPJ Kimber,JDS Neesham,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,3.4,Leicestershire,Durham,LPJ Kimber,RK Patel,JDS Neesham,4,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,3.5,Leicestershire,Durham,LPJ Kimber,RK Patel,JDS Neesham,4,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,3.6,Leicestershire,Durham,LPJ Kimber,RK Patel,JDS Neesham,0,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,4.1,Leicestershire,Durham,RK Patel,LPJ Kimber,Kasey Aldridge,4,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,4.2,Leicestershire,Durham,RK Patel,LPJ Kimber,Kasey Aldridge,4,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,4.3,Leicestershire,Durham,RK Patel,LPJ Kimber,Kasey Aldridge,6,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,4.4,Leicestershire,Durham,RK Patel,LPJ Kimber,Kasey Aldridge,2,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,4.5,Leicestershire,Durham,RK Patel,LPJ Kimber,Kasey Aldridge,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,4.6,Leicestershire,Durham,LPJ Kimber,RK Patel,Kasey Aldridge,6,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,5.1,Leicestershire,Durham,RK Patel,LPJ Kimber,ZGF Foulkes,4,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,5.2,Leicestershire,Durham,RK Patel,LPJ Kimber,ZGF Foulkes,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,5.3,Leicestershire,Durham,LPJ Kimber,RK Patel,ZGF Foulkes,0,1,,,,1,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,5.4,Leicestershire,Durham,RK Patel,LPJ Kimber,ZGF Foulkes,0,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,5.5,Leicestershire,Durham,RK Patel,LPJ Kimber,ZGF Foulkes,0,0,,,,,,caught,RK Patel,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,5.6,Leicestershire,Durham,Shan Masood,LPJ Kimber,ZGF Foulkes,0,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,6.1,Leicestershire,Durham,LPJ Kimber,Shan Masood,NA Sowter,6,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,6.2,Leicestershire,Durham,LPJ Kimber,Shan Masood,NA Sowter,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,6.3,Leicestershire,Durham,Shan Masood,LPJ Kimber,NA Sowter,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,6.4,Leicestershire,Durham,LPJ Kimber,Shan Masood,NA Sowter,1,0,,,,,,,,,
1460780,2025,2025-06-06,"Grace Road, Leicester",1,6.5,Leicestershire,Durham,Shan Masood,LPJ Kimber,NA Sowter,1,0,,,,,,,,,
